,laptop_ID,Company,TypeName,Inches,Ram,OpSys,Weight,Price_euros,height,width,Cpu Speed GHz,Cpu Company,has_SSD,has_HDD,GpuManufacturer
29,30,HP,Notebook,17.3,8,Windows 10,2.5,896.0,1920,1080,1.6,Intel,0,1,Nvidia
30,31,Other,Notebook,15.6,4,Windows 10,1.89,244.99,1920,1080,1.44,Intel,0,0,Intel
31,32,Asus,Notebook,14.0,2,Windows 10,1.65,199.0,1366,768,1.5,AMD,0,0,AMD
32,33,HP,Notebook,17.3,4,Windows 10,2.71,439.0,1920,1080,2.5,AMD,0,1,AMD
33,34,Dell,Ultrabook,13.3,16,Windows 10,1.2,1869.0,3200,1800,1.8,Intel,1,0,Intel
34,35,Other,Ultrabook,13.3,8,Other,1.35,998.0,1440,900,1.6,Intel,0,0,Intel
35,36,Lenovo,Notebook,14.0,4,Windows 10,1.44,249.0,1366,768,1.1,Intel,0,0,Intel
36,37,Acer,Notebook,15.6,4,Other,2.1,367.0,1366,768,2.7,Intel,0,1,Intel
37,38,Dell,Notebook,17.3,8,Windows 10,2.8,979.0,1920,1080,1.6,Intel,1,1,AMD
38,39,HP,Notebook,15.6,4,Windows 10,1.86,488.69,1366,768,2.5,Intel,0,1,Intel
39,40,HP,Notebook,15.6,8,Windows 10,2.1,879.0,1920,1080,1.6,Intel,1,0,Nvidia
40,41,Asus,Notebook,15.6,4,Other,2.0,389.0,1920,1080,2.0,Intel,0,1,Intel
41,42,Dell,Gaming,15.6,16,Windows 10,2.65,1499.0,1920,1080,2.8,Intel,1,1,Nvidia
42,43,Asus,Notebook,15.6,8,Other,2.3,522.99,1366,768,2.5,Intel,0,1,Nvidia
43,44,Acer,Notebook,15.6,4,Windows 10,2.2,682.0,1920,1080,1.6,Intel,1,0,Intel
44,45,Dell,2 in 1 Convertible,17.3,12,Windows 10,2.77,999.0,1920,1080,1.6,Intel,0,1,Nvidia
45,46,Other,Ultrabook,13.3,8,Other,1.37,1419.0,2560,1600,2.0,Intel,1,0,Intel
46,47,Lenovo,Notebook,15.6,4,Other,2.2,369.0,1366,768,2.0,Intel,1,0,Intel
47,48,Asus,Gaming,17.3,8,Windows 10,3.2,1299.0,1920,1080,3.0,AMD,1,1,AMD
48,49,Dell,Notebook,15.6,4,Windows 10,2.3,639.0,1920,1080,2.5,Intel,1,0,AMD
49,50,Asus,Notebook,17.3,4,Windows 10,2.8,466.0,1366,768,1.1,Intel,0,1,Nvidia
50,51,Lenovo,2 in 1 Convertible,10.1,4,Other,0.69,319.0,1920,1200,1.44,Intel,0,0,Intel
51,52,Acer,Notebook,15.6,8,Windows 10,2.2,841.0,1920,1080,1.8,Intel,1,0,Nvidia
52,53,HP,Notebook,15.6,4,Windows 10,1.86,398.49,1920,1080,2.5,AMD,1,0,AMD
53,54,HP,Notebook,13.3,8,Windows 10,1.49,1103.0,1920,1080,1.8,Intel,1,0,Intel
54,55,Acer,Notebook,15.6,4,Windows 10,2.4,384.0,1366,768,2.4,Intel,0,1,Intel
55,56,Dell,Notebook,15.6,8,Windows 10,2.13,767.8,1920,1080,1.8,Intel,1,0,AMD
56,57,HP,Notebook,15.6,4,Windows 10,1.91,439.0,1920,1080,2.0,Intel,1,0,Intel
57,58,Asus,Notebook,15.6,4,Windows 10,2.0,586.19,1366,768,2.5,Intel,1,0,Intel
58,59,Other,Gaming,17.3,16,Windows 10,2.43,2449.0,1920,1080,2.8,Intel,1,1,Nvidia
59,60,Asus,Notebook,15.6,4,Other,2.0,415.0,1920,1080,2.0,Intel,1,0,Intel
60,61,Dell,Notebook,17.3,16,Windows 10,2.8,1299.0,1920,1080,1.8,Intel,1,1,AMD
61,62,Dell,Ultrabook,14.0,8,Windows 10,1.7,879.0,1920,1080,1.6,Intel,1,0,Intel
62,63,Lenovo,Notebook,14.0,8,Other,1.7,599.0,1920,1080,2.7,Intel,1,0,Intel
63,64,Asus,Notebook,14.0,8,Windows 10,1.4,941.0,1920,1080,1.6,Intel,1,0,Intel
64,66,HP,Notebook,15.6,8,Windows 10,1.86,690.0,1920,1080,2.5,Intel,1,0,Intel
65,67,Asus,Ultrabook,15.6,16,Windows 10,1.8,1983.0,1920,1080,2.8,Intel,1,0,Nvidia
66,68,HP,Notebook,15.6,4,Windows 10,1.86,438.69,1366,768,2.0,Intel,0,1,AMD
67,69,HP,Notebook,14.0,4,Windows 10,1.44,229.0,1366,768,1.6,Intel,1,0,Intel
68,70,Lenovo,Notebook,15.6,4,Windows 10,1.9,549.0,1920,1080,2.5,Intel,0,1,Intel
69,71,Asus,Gaming,17.3,12,Other,3.0,949.0,1920,1080,2.8,Intel,0,1,Nvidia
70,72,Other,Ultrabook,13.5,4,Other,1.252,1089.0,2256,1504,2.5,Intel,1,0,Intel
71,73,Dell,Ultrabook,13.3,8,Windows 10,1.4,955.0,1920,1080,1.8,Intel,1,0,AMD
72,74,Dell,Notebook,15.6,8,Windows 10,2.2,870.0,1920,1080,1.8,Intel,1,0,AMD
73,75,Other,Gaming,17.3,8,Windows 10,2.7,1095.0,1920,1080,2.5,Intel,1,1,Nvidia
74,76,Acer,Notebook,14.0,8,Windows 10,2.1,389.0,1366,768,2.0,Intel,0,1,Intel
75,77,Asus,Gaming,15.6,8,Windows 10,2.2,949.0,1920,1080,2.8,Intel,0,1,Nvidia
76,78,Lenovo,Notebook,15.6,8,Other,2.2,519.0,1920,1080,2.5,Intel,0,1,Intel
77,79,Dell,Notebook,15.6,8,Windows 10,2.02,855.0,1920,1080,1.8,Intel,1,1,Intel
78,80,Acer,Notebook,15.6,4,Windows 10,2.2,530.0,1920,1080,2.7,Intel,0,1,Nvidia
79,81,HP,Notebook,17.3,8,Windows 10,2.5,977.0,1920,1080,1.6,Intel,1,1,Nvidia
80,82,Dell,Ultrabook,15.6,8,Windows 10,1.88,1096.16,1920,1080,1.6,Intel,1,0,Intel
81,83,Other,Ultrabook,12.0,8,Other,0.92,1510.0,2304,1440,1.3,Intel,1,0,Intel
82,84,HP,Notebook,14.0,8,Windows 10,1.63,860.0,1920,1080,1.6,Intel,1,0,Intel
83,85,Lenovo,Notebook,15.6,4,Windows 10,2.2,399.0,1920,1080,2.5,AMD,1,0,AMD
84,86,Acer,Notebook,15.6,4,Windows 10,2.1,395.0,1366,768,3.0,AMD,0,1,AMD
85,87,Dell,Gaming,15.6,16,Windows 10,2.65,1349.0,1920,1080,2.8,Intel,1,1,Nvidia
86,88,HP,Ultrabook,15.6,8,Windows 10,1.83,699.0,1920,1080,1.8,Intel,1,0,Nvidia
87,89,HP,Notebook,15.6,8,Windows 10,1.96,598.99,1920,1080,2.5,Intel,1,0,Intel
88,90,Asus,Gaming,15.6,16,Windows 10,2.2,1449.0,1920,1080,2.8,Intel,1,1,Nvidia
89,91,Dell,Ultrabook,13.3,8,Windows 10,1.21,1649.0,1920,1080,1.8,Intel,1,0,Intel
90,92,Asus,Gaming,15.6,8,Windows 10,2.45,699.0,1920,1080,3.0,AMD,0,1,AMD
91,93,Acer,Notebook,15.6,8,Windows 10,2.2,689.0,1920,1080,1.8,Intel,0,1,Nvidia
92,94,HP,Notebook,13.3,16,Windows 10,1.49,1197.0,1920,1080,1.8,Intel,1,0,Intel
93,95,Dell,Gaming,15.6,8,Windows 10,2.65,1195.0,1920,1080,2.5,Intel,1,0,Nvidia
94,96,Asus,Ultrabook,14.0,8,Windows 10,1.25,1049.0,1920,1080,2.7,Intel,1,0,Intel
95,97,Acer,2 in 1 Convertible,13.3,8,Windows 10,1.5,847.0,1920,1080,1.6,Intel,1,0,Intel
96,98,Dell,Notebook,15.6,8,Other,2.2,599.9,1920,1080,2.7,Intel,0,1,AMD
97,99,Dell,Notebook,15.6,4,Other,2.2,485.0,1920,1080,2.0,Intel,1,0,AMD
98,100,Asus,Notebook,15.6,6,Windows 10,2.0,577.0,1920,1080,2.4,Intel,1,0,Nvidia
99,102,HP,Gaming,15.6,12,Windows 10,2.62,1249.0,1920,1080,2.8,Intel,1,1,Nvidia
100,103,HP,Notebook,15.6,8,Windows 10,1.91,719.0,1920,1080,2.7,Intel,1,0,AMD
101,104,HP,Notebook,15.6,4,Windows 10,2.1,349.0,1920,1080,1.5,AMD,0,1,AMD
102,105,Dell,Notebook,15.6,8,Other,2.2,647.0,1920,1080,1.6,Intel,0,1,AMD
103,106,HP,Ultrabook,13.3,8,Windows 10,1.38,1119.0,1920,1080,2.7,Intel,1,0,Nvidia
104,107,Other,Ultrabook,13.5,8,Other,1.252,1340.0,2256,1504,2.5,Intel,1,0,Intel
105,108,HP,Notebook,14.0,6,Windows 10,1.58,659.0,1920,1080,2.5,Intel,1,0,Nvidia
106,109,Lenovo,Notebook,15.6,4,Windows 10,1.85,414.9,1920,1080,2.0,Intel,0,1,Intel
107,110,Asus,Ultrabook,14.0,8,Windows 10,1.3,1193.0,1920,1080,2.7,Intel,1,0,Nvidia
108,111,Other,Gaming,15.6,16,Windows 10,2.2,1299.0,1920,1080,2.8,Intel,1,1,Nvidia
109,112,Lenovo,Notebook,14.0,8,Windows 10,1.58,1480.0,1920,1080,2.7,Intel,1,0,Intel
110,113,Asus,Ultrabook,15.6,16,Windows 10,1.5,1262.0,1920,1080,1.8,Intel,1,1,Nvidia
111,114,Dell,Ultrabook,13.3,8,Windows 10,1.23,1379.0,3200,1800,2.4,Intel,1,0,Intel
112,115,Lenovo,2 in 1 Convertible,13.3,8,Windows 10,1.37,1399.0,1920,1080,2.5,Intel,1,0,Intel
113,116,HP,Notebook,14.0,4,Windows 10,1.63,722.0,1366,768,1.6,Intel,0,1,Intel
114,117,Dell,Ultrabook,13.3,8,Windows 10,1.21,1629.0,1920,1080,1.6,Intel,1,0,Intel
115,118,HP,2 in 1 Convertible,13.3,8,Windows 10,1.26,1398.99,1920,1080,1.6,Intel,1,0,Intel
116,119,HP,Notebook,14.0,8,Windows 10,1.63,1084.0,1920,1080,1.8,Intel,1,0,Intel
117,120,Dell,Notebook,15.6,8,Windows 10,2.16,1130.33,1920,1080,1.8,Intel,1,1,Nvidia
118,121,Asus,Notebook,17.3,4,Windows 10,2.0,564.0,1920,1080,2.0,Intel,0,1,Nvidia
119,122,Asus,Notebook,15.6,8,Windows 10,1.7,1118.0,1920,1080,1.8,Intel,1,0,Nvidia
120,123,Acer,Notebook,15.6,6,Windows 10,2.1,479.0,1920,1080,2.4,Intel,0,1,Intel
121,124,Other,Gaming,15.6,16,Windows 10,1.8,2241.5,1920,1080,2.8,Intel,1,1,Nvidia
122,125,Lenovo,Notebook,15.6,8,Other,2.2,629.0,1920,1080,2.5,Intel,1,0,Nvidia
123,126,HP,Notebook,17.3,16,Windows 10,2.5,1271.0,1920,1080,1.8,Intel,1,0,Nvidia
124,127,Acer,Notebook,15.6,4,Windows 10,2.1,451.0,1366,768,3.0,AMD,1,0,AMD
125,128,HP,Notebook,15.6,4,Other,1.86,259.0,1366,768,1.6,Intel,0,1,Intel
126,129,HP,Notebook,14.0,8,Windows 10,1.63,812.0,1920,1080,1.6,Intel,0,1,Intel
127,130,Asus,Notebook,14.0,4,Other,1.65,277.99,1366,768,1.5,AMD,1,0,AMD
128,131,Dell,Notebook,17.3,16,Windows 10,2.8,1396.0,1920,1080,1.8,Intel,1,1,AMD
129,132,HP,Notebook,17.3,8,Windows 10,2.5,928.0,1920,1080,1.6,Intel,1,0,Intel
130,133,Dell,Notebook,15.6,8,Windows 10,2.36,638.99,1366,768,2.5,Intel,0,1,AMD
131,134,Dell,Notebook,15.6,4,Windows 10,2.2,449.0,1920,1080,2.0,Intel,0,1,AMD
132,135,Acer,Ultrabook,14.0,8,Windows 10,1.6,884.0,1920,1080,1.8,Intel,1,0,Intel
133,136,Acer,Notebook,15.6,4,Windows 10,2.2,572.0,1920,1080,2.7,Intel,1,0,Nvidia
134,137,HP,Notebook,15.6,8,Windows 10,2.05,598.0,1366,768,2.7,Intel,0,1,Intel
135,138,HP,Notebook,14.0,8,Windows 10,1.63,988.0,1920,1080,1.8,Intel,1,0,Intel
136,139,Lenovo,Notebook,15.6,4,Other,1.9,252.36,1366,768,1.1,Intel,0,1,Intel
137,140,Asus,Gaming,17.3,8,Windows 10,3.0,938.0,1920,1080,2.5,Intel,1,1,Nvidia
138,141,Lenovo,Notebook,15.6,4,Other,2.2,499.0,1920,1080,2.5,Intel,0,1,Nvidia
139,142,HP,Notebook,13.3,4,Windows 10,1.32,699.0,1920,1080,2.5,Intel,1,0,Intel
140,143,Acer,Notebook,17.3,4,Windows 10,3.0,655.0,1920,1080,2.7,Intel,0,1,Nvidia
141,144,Lenovo,Notebook,14.0,8,Windows 10,1.75,1116.02,1920,1080,1.6,Intel,1,0,AMD
142,145,Lenovo,Gaming,15.6,8,Other,2.4,869.0,1920,1080,2.8,Intel,1,0,Nvidia
143,146,Other,Notebook,15.6,4,Windows 10,2.1,602.0,1366,768,2.3,Intel,0,1,Intel
144,147,HP,Notebook,15.6,4,Windows 10,1.86,369.0,1366,768,2.5,AMD,1,0,AMD
145,148,Asus,Ultrabook,14.0,8,Windows 10,1.25,1099.0,1920,1080,1.8,Intel,1,0,Intel
146,149,HP,Ultrabook,12.5,8,Windows 10,0.97,2014.0,3840,2160,1.2,Intel,1,0,Intel
147,150,Asus,Notebook,15.6,4,Windows 10,2.0,344.0,1920,1080,1.1,Intel,0,1,Intel
148,151,Other,Gaming,17.3,16,Windows 10,2.9,2029.0,1920,1080,2.8,Intel,1,1,Nvidia
149,152,Acer,Notebook,15.6,4,Windows 10,2.1,447.0,1366,768,2.0,Intel,0,1,Intel
150,153,Dell,Gaming,15.6,16,Windows 10,2.56,1249.26,1920,1080,2.8,Intel,1,0,Nvidia
151,154,Dell,Gaming,15.6,8,Windows 10,2.62,899.0,1920,1080,2.8,Intel,0,0,Nvidia
152,155,Lenovo,Notebook,15.6,4,Windows 10,1.9,498.0,1366,768,2.5,Intel,1,0,Intel
153,156,Other,Gaming,17.3,16,Windows 10,2.8,1890.0,1920,1080,2.8,Intel,1,1,Nvidia
154,157,HP,Ultrabook,14.0,4,Windows 10,1.48,1082.0,1920,1080,2.7,Intel,1,0,Intel
155,158,HP,Notebook,15.6,6,Windows 10,1.91,619.0,1920,1080,1.6,Intel,1,0,AMD
156,159,Lenovo,2 in 1 Convertible,14.0,4,Windows 10,1.74,629.0,1920,1080,2.4,Intel,1,0,Intel
157,160,Asus,2 in 1 Convertible,13.3,8,Windows 10,1.1,1315.0,1920,1080,1.6,Intel,1,0,Intel
158,161,Dell,2 in 1 Convertible,15.6,8,Windows 10,1.56,1049.0,1920,1080,1.8,Intel,1,0,Intel
159,163,Other,Notebook,15.6,4,Windows 10,2.1,447.0,1366,768,2.2,Intel,0,1,Intel
160,164,Asus,Notebook,15.6,4,Windows 10,2.03,403.0,1366,768,3.0,AMD,0,1,AMD
161,165,Acer,Notebook,17.3,4,Windows 10,3.0,805.0,1920,1080,1.6,Intel,1,0,Nvidia
162,166,Dell,Notebook,15.6,8,Windows 10,2.13,728.0,1920,1080,1.6,Intel,1,0,AMD
163,167,Lenovo,Gaming,15.6,16,Windows 10,2.5,1079.0,1920,1080,2.8,Intel,1,0,Nvidia
164,168,Acer,Notebook,15.6,4,Windows 10,2.1,348.0,1366,768,1.1,Intel,0,1,Intel
165,169,Other,Gaming,15.6,16,Windows 10,2.4,1799.0,1920,1080,2.8,Intel,1,1,Nvidia
166,170,Acer,Notebook,15.6,4,Windows 10,2.1,363.51,1366,768,1.1,Intel,0,1,Intel
167,171,Dell,Gaming,15.6,8,Windows 10,2.56,1060.49,1920,1080,2.8,Intel,1,1,Nvidia
168,172,Acer,Notebook,17.3,8,Windows 10,3.0,854.0,1920,1080,1.6,Intel,1,0,Nvidia
169,173,HP,Notebook,13.3,4,Windows 10,1.49,754.0,1920,1080,1.6,Intel,0,1,Intel
170,174,Other,Ultrabook,13.0,8,Windows 10,1.05,1349.0,2160,1440,2.5,Intel,1,0,Intel
171,175,HP,Notebook,17.3,6,Windows 10,2.71,699.0,1920,1080,2.5,Intel,0,1,AMD
172,176,Lenovo,Notebook,15.6,4,Other,2.2,309.0,1366,768,2.9,AMD,0,1,AMD
173,177,Other,Notebook,15.6,4,Windows 10,2.0,489.0,1366,768,2.4,Intel,0,1,Intel
174,178,HP,Notebook,17.3,8,Windows 10,2.5,923.0,1920,1080,1.6,Intel,1,0,Nvidia
175,179,Dell,Notebook,15.6,8,Windows 10,2.3,459.0,1366,768,2.4,Intel,0,1,Intel
176,180,Acer,Notebook,15.6,4,Windows 10,2.1,449.0,1366,768,2.0,Intel,1,0,Intel
177,181,Other,Gaming,18.4,32,Windows 10,4.4,2799.0,1920,1080,2.9,Intel,1,1,Nvidia
178,182,Lenovo,Notebook,15.6,8,Windows 10,1.9,813.0,1920,1080,2.5,Intel,1,1,AMD
179,183,HP,2 in 1 Convertible,13.3,8,Windows 10,1.29,1499.0,3840,2160,1.6,Intel,1,0,Intel
180,184,Dell,Notebook,15.6,16,Other,2.02,1049.0,1920,1080,1.8,Intel,1,1,AMD
181,185,Dell,Ultrabook,13.3,8,Windows 10,1.23,1399.0,1920,1080,1.6,Intel,1,0,Intel
182,186,Lenovo,2 in 1 Convertible,13.9,16,Windows 10,1.4,1849.0,3840,2160,1.8,Intel,1,0,Intel
183,187,Other,Notebook,15.6,8,Windows 10,2.0,793.0,1366,768,2.5,Intel,1,0,Intel
184,188,Other,Notebook,15.6,8,Other,1.95,1199.0,1920,1080,1.6,Intel,1,0,Nvidia
185,189,Dell,Notebook,17.3,16,Windows 10,2.77,1549.0,1920,1080,1.8,Intel,1,0,Nvidia
186,190,Dell,Notebook,15.6,16,Windows 10,2.06,2397.0,3840,2160,2.8,Intel,1,0,Nvidia
187,191,Lenovo,Gaming,15.6,8,Other,2.4,779.0,1920,1080,2.5,Intel,1,0,Nvidia
188,192,Acer,Ultrabook,13.3,8,Windows 10,1.12,989.0,1920,1080,1.2,Intel,1,0,Intel
189,193,Dell,Notebook,17.3,8,Windows 10,2.8,1085.0,1920,1080,1.8,Intel,1,1,AMD
190,194,Lenovo,2 in 1 Convertible,14.0,16,Windows 10,1.42,2824.0,2560,1440,2.7,Intel,1,0,Intel
191,195,Other,Notebook,14.0,4,Windows 10,1.3,260.0,1920,1080,1.1,Intel,0,0,Intel
192,196,Other,Ultrabook,13.3,8,Other,1.3,999.9,1920,1080,2.5,Intel,1,0,Nvidia
193,197,Lenovo,Notebook,17.3,8,Other,2.8,698.0,1600,900,1.6,Intel,1,0,Nvidia
194,198,Dell,2 in 1 Convertible,13.3,8,Windows 10,1.62,839.0,1920,1080,1.8,Intel,0,1,Intel
195,199,HP,Notebook,17.3,8,Windows 10,2.5,914.0,1920,1080,1.6,Intel,0,1,Nvidia
196,200,Other,Gaming,17.3,32,Windows 10,3.49,6099.0,3840,2160,2.9,Intel,1,0,Nvidia
197,201,HP,Notebook,13.3,8,Windows 10,1.49,959.0,1920,1080,1.6,Intel,1,0,Intel
198,202,HP,Gaming,17.3,16,Windows 10,3.35,1379.0,1920,1080,2.8,Intel,1,1,Nvidia
199,203,HP,Notebook,17.3,8,Windows 10,2.5,1045.0,1920,1080,1.8,Intel,1,0,Nvidia
200,204,Dell,Gaming,15.6,16,Windows 10,2.65,1845.0,3840,2160,2.8,Intel,1,1,Nvidia
201,205,Lenovo,Notebook,15.6,4,Windows 10,2.1,493.0,1366,768,2.3,Intel,1,0,Intel
202,206,Acer,Notebook,15.6,8,Windows 10,2.23,742.0,1920,1080,2.7,Intel,0,1,Nvidia
203,207,Lenovo,Gaming,15.6,16,Windows 10,3.2,1749.0,1920,1080,2.8,Intel,1,1,Nvidia
204,208,Dell,Workstation,15.6,16,Windows 10,2.8,3055.0,3840,2160,3.0,Intel,1,1,Nvidia
205,209,Lenovo,Gaming,15.6,16,Other,2.4,1398.0,1920,1080,2.8,Intel,1,0,Nvidia
206,210,Dell,Notebook,15.6,6,Windows 10,2.3,439.0,1366,768,2.4,Intel,0,1,Intel
207,211,Dell,Ultrabook,13.3,8,Windows 10,1.21,1949.0,3840,2160,1.8,Intel,1,0,Intel
208,212,Dell,Ultrabook,13.3,8,Windows 10,1.2,1449.0,1920,1080,1.8,Intel,1,0,Intel
209,213,Lenovo,Notebook,15.6,8,Windows 10,2.2,597.0,1366,768,2.5,Intel,1,0,Intel
210,215,Acer,Notebook,15.6,8,Other,2.4,779.0,1920,1080,2.8,Intel,0,1,Nvidia
211,216,Asus,Gaming,17.3,16,Windows 10,2.9,1407.0,1920,1080,2.8,Intel,1,1,Nvidia
212,217,HP,Notebook,15.6,4,Other,2.1,349.0,1920,1080,2.0,Intel,0,1,Intel
213,218,Lenovo,Notebook,15.6,8,Other,2.2,549.0,1920,1080,2.5,Intel,1,0,Intel
214,219,Other,Ultrabook,13.0,8,Windows 10,1.05,1499.0,2160,1440,2.7,Intel,1,0,Intel
215,220,Dell,Ultrabook,13.3,8,Windows 10,1.4,931.88,1920,1080,1.8,Intel,1,0,AMD
216,221,Lenovo,Notebook,17.3,8,Other,2.8,589.0,1600,900,2.5,Intel,0,1,Nvidia
217,222,HP,Notebook,14.0,8,Windows 10,1.63,1031.0,1920,1080,1.8,Intel,1,0,Nvidia
218,223,Dell,Ultrabook,14.0,8,Windows 10,1.6,1149.0,1920,1080,1.6,Intel,1,0,Intel
219,224,Dell,2 in 1 Convertible,13.3,16,Windows 10,1.62,1279.0,1920,1080,1.8,Intel,1,0,Intel
220,225,Dell,Notebook,15.6,8,Other,2.2,677.35,1920,1080,1.6,Intel,1,0,AMD
221,226,Lenovo,2 in 1 Convertible,14.0,8,Windows 10,1.74,899.0,1920,1080,1.6,Intel,1,0,Intel
222,227,Other,Ultrabook,13.3,8,Windows 10,1.2,1363.0,1920,1080,2.5,Intel,1,0,Intel
223,228,HP,Notebook,15.6,8,Windows 10,2.1,794.0,1920,1080,1.6,Intel,0,1,Intel
224,229,Dell,Gaming,17.3,16,Windows 10,4.42,2456.34,1920,1080,2.8,Intel,1,1,Nvidia
225,230,Acer,Notebook,15.6,8,Windows 10,2.2,832.0,1920,1080,2.7,Intel,1,0,Nvidia
226,231,Dell,Notebook,15.6,16,Windows 10,2.3,859.01,1920,1080,2.7,Intel,0,1,AMD
227,232,Asus,Notebook,15.6,8,Windows 10,2.0,769.0,1920,1080,2.5,Intel,1,0,Nvidia
228,233,Asus,Notebook,17.3,8,Windows 10,2.69,891.0,1920,1080,2.5,Intel,1,1,Nvidia
229,234,HP,Notebook,15.6,8,Windows 10,1.9,1269.0,1920,1080,2.7,Intel,0,1,AMD
230,235,Asus,Notebook,15.6,4,Windows 10,2.37,398.99,1366,768,2.4,Intel,0,1,Intel
231,236,HP,Notebook,15.6,4,Windows 10,2.1,330.0,1366,768,1.5,AMD,0,1,AMD
232,237,Lenovo,Gaming,15.6,16,Windows 10,3.2,1499.0,1920,1080,2.8,Intel,1,1,Nvidia
233,238,Dell,Notebook,14.0,8,Windows 10,1.6,859.0,1920,1080,2.5,Intel,1,0,Intel
234,239,Acer,2 in 1 Convertible,13.3,8,Windows 10,1.6,689.0,1920,1080,2.3,Intel,1,0,Intel
235,240,Dell,Notebook,15.6,16,Other,2.36,899.0,1920,1080,2.7,Intel,1,0,AMD
236,241,Acer,Notebook,15.6,4,Other,2.1,390.0,1366,768,2.0,Intel,0,1,Intel
237,242,Asus,Notebook,15.6,4,Windows 10,2.2,575.0,1920,1080,2.5,AMD,1,1,AMD
238,243,Asus,Gaming,17.3,32,Windows 10,4.7,3890.0,1920,1080,2.9,Intel,1,1,Nvidia
239,244,Acer,Gaming,15.6,8,Windows 10,2.5,846.0,1920,1080,2.5,Intel,1,0,Nvidia
240,245,Lenovo,Notebook,15.6,8,Windows 10,2.2,589.0,1366,768,2.0,Intel,1,0,Intel
241,246,Asus,Notebook,17.3,8,Windows 10,2.1,1145.0,1920,1080,1.8,Intel,1,1,Nvidia
242,247,Asus,Notebook,17.3,8,Other,2.69,889.0,1920,1080,2.7,Intel,1,1,Nvidia
243,248,Dell,Gaming,15.6,8,Windows 10,2.56,879.0,1920,1080,2.5,Intel,1,0,Nvidia
244,249,Lenovo,2 in 1 Convertible,13.9,8,Windows 10,1.38,1079.0,1920,1080,2.7,Intel,1,0,Intel
245,250,Dell,Notebook,15.6,8,Windows 10,2.2,985.0,1920,1080,1.8,Intel,1,1,AMD
246,251,HP,Notebook,15.6,8,Windows 10,2.04,559.0,1366,768,2.5,Intel,0,1,Intel
