store_sales(in millions),unit_sales(in millions),total_children,num_children_at_home,avg_cars_at home(approx).1,gross_weight,recyclable_package,low_fat,units_per_case,store_sqft,coffee_bar,video_store,salad_bar,prepared_food,florist,cost
8.79,3.0,1.0,0.0,4.0,11.9,1.0,0.0,15.0,30797.0,1.0,1.0,1.0,1.0,1.0,65.7
1.89,3.0,2.0,0.0,4.0,17.2,1.0,0.0,26.0,21215.0,1.0,0.0,0.0,0.0,0.0,138.53
8.85,3.0,1.0,1.0,1.0,16.1,1.0,0.0,12.0,39696.0,0.0,0.0,1.0,1.0,0.0,145.52
4.72,2.0,1.0,0.0,3.0,19.6,1.0,0.0,32.0,33858.0,1.0,0.0,1.0,1.0,1.0,94.63
6.04,4.0,4.0,4.0,3.0,6.84,0.0,1.0,35.0,21215.0,1.0,0.0,0.0,0.0,0.0,69.63
10.2,3.0,3.0,0.0,1.0,20.0,1.0,1.0,22.0,23688.0,1.0,1.0,1.0,1.0,1.0,96.55
11.72,4.0,3.0,0.0,2.0,18.9,1.0,0.0,31.0,27694.0,1.0,1.0,1.0,1.0,1.0,59.86
10.84,4.0,3.0,2.0,3.0,17.1,1.0,1.0,26.0,30584.0,1.0,1.0,1.0,1.0,1.0,91.58
4.2,3.0,1.0,1.0,3.0,17.0,0.0,0.0,29.0,30268.0,0.0,0.0,0.0,0.0,0.0,64.99
6.99,3.0,0.0,0.0,1.0,20.5,0.0,0.0,25.0,33858.0,1.0,0.0,1.0,1.0,1.0,111.7
5.22,2.0,2.0,0.0,2.0,18.0,1.0,0.0,11.0,30797.0,1.0,1.0,1.0,1.0,1.0,92.57
11.46,3.0,0.0,0.0,1.0,18.5,1.0,0.0,29.0,21215.0,1.0,0.0,0.0,0.0,0.0,133.6
7.41,3.0,3.0,0.0,2.0,19.3,0.0,0.0,9.0,20319.0,0.0,0.0,0.0,0.0,0.0,52.06
7.52,2.0,0.0,0.0,0.0,9.41,1.0,0.0,24.0,39696.0,0.0,0.0,1.0,1.0,0.0,145.52
14.96,4.0,4.0,3.0,4.0,10.3,1.0,0.0,34.0,30268.0,0.0,0.0,0.0,0.0,0.0,59.4
7.32,3.0,5.0,1.0,1.0,7.28,1.0,0.0,27.0,28206.0,1.0,0.0,0.0,0.0,0.0,77.7
5.9,5.0,2.0,0.0,3.0,10.0,0.0,0.0,27.0,23688.0,1.0,1.0,1.0,1.0,1.0,129.2
7.96,4.0,1.0,0.0,4.0,12.5,0.0,0.0,9.0,21215.0,1.0,0.0,0.0,0.0,0.0,91.28
12.68,4.0,1.0,1.0,2.0,7.66,1.0,0.0,25.0,23598.0,0.0,0.0,0.0,0.0,1.0,146.41
5.98,2.0,4.0,3.0,4.0,12.4,1.0,1.0,30.0,34791.0,0.0,0.0,1.0,1.0,0.0,66.37
10.2,4.0,5.0,5.0,4.0,17.2,0.0,1.0,15.0,30268.0,0.0,0.0,0.0,0.0,0.0,89.37
5.12,4.0,5.0,5.0,1.0,9.18,0.0,0.0,29.0,23112.0,1.0,1.0,1.0,1.0,1.0,107.2
2.9,2.0,4.0,4.0,3.0,9.65,1.0,0.0,14.0,36509.0,0.0,0.0,0.0,0.0,0.0,97.34
12.72,4.0,1.0,0.0,2.0,12.0,0.0,1.0,31.0,21215.0,1.0,0.0,0.0,0.0,0.0,59.19
2.01,3.0,4.0,2.0,2.0,7.11,0.0,1.0,16.0,34791.0,0.0,0.0,1.0,1.0,0.0,125.48
6.92,4.0,5.0,0.0,1.0,9.26,0.0,0.0,20.0,30584.0,1.0,1.0,1.0,1.0,1.0,68.63
2.73,3.0,0.0,0.0,1.0,9.91,1.0,0.0,9.0,30797.0,1.0,1.0,1.0,1.0,1.0,92.57
3.1,5.0,5.0,1.0,2.0,20.1,1.0,0.0,3.0,23112.0,1.0,1.0,1.0,1.0,1.0,122.77
2.16,4.0,4.0,0.0,3.0,17.3,1.0,0.0,15.0,27694.0,1.0,1.0,1.0,1.0,1.0,59.86
12.95,5.0,4.0,0.0,2.0,9.43,0.0,0.0,20.0,30268.0,0.0,0.0,0.0,0.0,0.0,133.42
2.7,3.0,3.0,0.0,1.0,10.9,1.0,0.0,9.0,20319.0,0.0,0.0,0.0,0.0,0.0,52.06
3.64,2.0,0.0,0.0,2.0,21.0,1.0,0.0,19.0,21215.0,1.0,0.0,0.0,0.0,0.0,134.66
9.24,4.0,1.0,0.0,3.0,7.04,0.0,0.0,3.0,39696.0,0.0,0.0,1.0,1.0,0.0,123.02
8.94,3.0,5.0,0.0,1.0,15.1,0.0,0.0,15.0,21215.0,1.0,0.0,0.0,0.0,0.0,66.78
2.56,4.0,1.0,0.0,1.0,13.0,1.0,0.0,29.0,30268.0,0.0,0.0,0.0,0.0,0.0,100.91
11.6,4.0,2.0,0.0,2.0,8.2,1.0,0.0,18.0,23759.0,1.0,0.0,1.0,1.0,1.0,65.68
5.58,3.0,4.0,4.0,3.0,21.2,0.0,1.0,31.0,21215.0,1.0,0.0,0.0,0.0,0.0,142.45
4.86,3.0,3.0,0.0,1.0,21.0,0.0,0.0,7.0,30797.0,1.0,1.0,1.0,1.0,1.0,92.57
11.0,4.0,2.0,1.0,1.0,9.24,0.0,0.0,31.0,23112.0,1.0,1.0,1.0,1.0,1.0,144.54
8.01,3.0,1.0,0.0,0.0,12.8,1.0,0.0,16.0,33858.0,1.0,0.0,1.0,1.0,1.0,71.51
10.2,4.0,5.0,0.0,1.0,17.2,0.0,1.0,15.0,21215.0,1.0,0.0,0.0,0.0,0.0,138.23
13.84,4.0,3.0,0.0,2.0,11.0,0.0,1.0,25.0,33858.0,1.0,0.0,1.0,1.0,1.0,111.7
4.62,3.0,1.0,0.0,3.0,8.44,0.0,1.0,16.0,23688.0,1.0,1.0,1.0,1.0,1.0,85.88
11.4,4.0,4.0,3.0,4.0,11.3,0.0,1.0,30.0,30797.0,1.0,1.0,1.0,1.0,1.0,56.49
11.84,4.0,3.0,0.0,0.0,9.43,1.0,0.0,32.0,33858.0,1.0,0.0,1.0,1.0,1.0,91.0
14.25,5.0,4.0,0.0,1.0,14.1,1.0,0.0,33.0,34791.0,0.0,0.0,1.0,1.0,0.0,77.01
8.7,3.0,5.0,1.0,1.0,21.6,1.0,1.0,17.0,28206.0,1.0,0.0,0.0,0.0,0.0,77.7
2.04,3.0,1.0,1.0,0.0,12.2,0.0,0.0,6.0,21215.0,1.0,0.0,0.0,0.0,0.0,83.51
4.17,3.0,4.0,4.0,4.0,7.18,0.0,0.0,14.0,27694.0,1.0,1.0,1.0,1.0,1.0,69.47
3.74,2.0,1.0,0.0,3.0,13.2,1.0,1.0,29.0,23112.0,1.0,1.0,1.0,1.0,1.0,144.54
5.85,3.0,2.0,1.0,1.0,16.6,1.0,1.0,2.0,30584.0,1.0,1.0,1.0,1.0,1.0,146.72
6.36,3.0,1.0,1.0,1.0,15.6,0.0,0.0,30.0,36509.0,0.0,0.0,0.0,0.0,0.0,137.17
11.85,3.0,4.0,0.0,2.0,7.54,1.0,0.0,9.0,30584.0,1.0,1.0,1.0,1.0,1.0,91.58
10.53,3.0,1.0,1.0,1.0,20.0,0.0,1.0,3.0,21215.0,1.0,0.0,0.0,0.0,0.0,145.41
7.71,3.0,0.0,0.0,2.0,17.8,1.0,0.0,21.0,23598.0,0.0,0.0,0.0,0.0,1.0,55.96
1.74,3.0,4.0,0.0,0.0,13.9,1.0,0.0,14.0,21215.0,1.0,0.0,0.0,0.0,0.0,69.63
4.08,3.0,4.0,0.0,1.0,13.5,0.0,1.0,19.0,30797.0,1.0,1.0,1.0,1.0,1.0,99.38
4.02,3.0,2.0,0.0,3.0,14.8,0.0,1.0,36.0,20319.0,0.0,0.0,0.0,0.0,0.0,108.22
1.8,3.0,2.0,0.0,2.0,16.9,0.0,1.0,21.0,27694.0,1.0,1.0,1.0,1.0,1.0,126.62
11.22,3.0,0.0,0.0,2.0,10.3,1.0,0.0,34.0,33858.0,1.0,0.0,1.0,1.0,1.0,149.08
3.62,2.0,3.0,2.0,2.0,10.8,0.0,1.0,7.0,23759.0,1.0,0.0,1.0,1.0,1.0,89.9
4.85,5.0,5.0,5.0,4.0,7.67,0.0,0.0,35.0,30268.0,0.0,0.0,0.0,0.0,0.0,64.99
9.76,4.0,2.0,0.0,1.0,18.6,0.0,0.0,14.0,23112.0,1.0,1.0,1.0,1.0,1.0,142.71
7.8,5.0,3.0,0.0,4.0,21.9,1.0,1.0,31.0,39696.0,0.0,0.0,1.0,1.0,0.0,106.1
7.35,3.0,3.0,0.0,3.0,8.11,0.0,0.0,9.0,20319.0,0.0,0.0,0.0,0.0,0.0,62.27
7.12,4.0,2.0,0.0,4.0,17.1,0.0,0.0,34.0,30584.0,1.0,1.0,1.0,1.0,1.0,68.63
10.38,3.0,3.0,1.0,0.0,11.2,0.0,1.0,26.0,23598.0,0.0,0.0,0.0,0.0,1.0,81.79
6.84,3.0,2.0,0.0,4.0,10.5,1.0,1.0,24.0,21215.0,1.0,0.0,0.0,0.0,0.0,131.58
7.77,3.0,1.0,1.0,1.0,9.77,1.0,1.0,20.0,23598.0,0.0,0.0,0.0,0.0,1.0,101.84
11.92,4.0,1.0,0.0,0.0,11.6,1.0,0.0,21.0,23112.0,1.0,1.0,1.0,1.0,1.0,97.13
11.73,3.0,1.0,1.0,2.0,21.9,1.0,0.0,33.0,39696.0,0.0,0.0,1.0,1.0,0.0,106.1
8.88,3.0,4.0,0.0,3.0,9.43,1.0,0.0,32.0,33858.0,1.0,0.0,1.0,1.0,1.0,67.31
8.64,3.0,1.0,1.0,2.0,19.3,1.0,0.0,18.0,23598.0,0.0,0.0,0.0,0.0,1.0,101.84
5.43,3.0,4.0,4.0,3.0,7.7,0.0,1.0,17.0,33858.0,1.0,0.0,1.0,1.0,1.0,149.08
9.99,3.0,3.0,0.0,4.0,18.5,0.0,0.0,24.0,36509.0,0.0,0.0,0.0,0.0,0.0,109.09
5.67,3.0,2.0,1.0,1.0,16.5,1.0,0.0,5.0,23112.0,1.0,1.0,1.0,1.0,1.0,122.77
2.85,3.0,2.0,2.0,1.0,8.29,1.0,0.0,20.0,36509.0,0.0,0.0,0.0,0.0,0.0,96.18
5.76,2.0,4.0,0.0,3.0,19.4,1.0,0.0,15.0,21215.0,1.0,0.0,0.0,0.0,0.0,135.8
10.74,3.0,1.0,1.0,3.0,14.4,1.0,0.0,5.0,27694.0,1.0,1.0,1.0,1.0,1.0,143.83
5.49,3.0,1.0,0.0,1.0,19.6,1.0,0.0,15.0,23598.0,0.0,0.0,0.0,0.0,1.0,61.65
3.51,3.0,3.0,2.0,3.0,17.8,1.0,0.0,33.0,23598.0,0.0,0.0,0.0,0.0,1.0,81.79
2.46,3.0,3.0,2.0,3.0,15.1,1.0,0.0,30.0,33858.0,1.0,0.0,1.0,1.0,1.0,138.81
11.01,3.0,0.0,0.0,4.0,8.31,1.0,0.0,7.0,33858.0,1.0,0.0,1.0,1.0,1.0,73.05
2.42,2.0,1.0,0.0,4.0,10.1,1.0,1.0,13.0,23598.0,0.0,0.0,0.0,0.0,1.0,135.92
5.54,2.0,1.0,1.0,1.0,21.7,0.0,0.0,19.0,39696.0,0.0,0.0,1.0,1.0,0.0,58.27
13.28,4.0,0.0,0.0,1.0,16.1,0.0,1.0,3.0,33858.0,1.0,0.0,1.0,1.0,1.0,51.12
5.72,4.0,4.0,2.0,3.0,10.2,0.0,0.0,5.0,23593.0,0.0,0.0,0.0,0.0,0.0,73.27
6.39,3.0,4.0,2.0,2.0,9.18,0.0,0.0,3.0,33858.0,1.0,0.0,1.0,1.0,1.0,149.08
7.12,4.0,0.0,0.0,3.0,14.3,1.0,0.0,24.0,30268.0,0.0,0.0,0.0,0.0,0.0,133.42
6.6,4.0,4.0,0.0,3.0,9.38,1.0,1.0,33.0,23112.0,1.0,1.0,1.0,1.0,1.0,77.24
13.35,5.0,3.0,0.0,1.0,12.6,1.0,0.0,26.0,20319.0,0.0,0.0,0.0,0.0,0.0,112.49
5.42,2.0,1.0,0.0,2.0,21.8,1.0,1.0,3.0,20319.0,0.0,0.0,0.0,0.0,0.0,53.13
10.62,3.0,3.0,0.0,1.0,10.9,1.0,0.0,33.0,33858.0,1.0,0.0,1.0,1.0,1.0,69.65
9.24,4.0,2.0,0.0,3.0,15.5,0.0,0.0,18.0,27694.0,1.0,1.0,1.0,1.0,1.0,54.9
1.02,2.0,0.0,0.0,3.0,11.7,1.0,0.0,6.0,39696.0,0.0,0.0,1.0,1.0,0.0,115.05
4.02,3.0,4.0,0.0,2.0,10.3,0.0,0.0,27.0,30584.0,1.0,1.0,1.0,1.0,1.0,54.36
2.58,3.0,0.0,0.0,2.0,7.86,1.0,0.0,6.0,23759.0,1.0,0.0,1.0,1.0,1.0,147.82
4.29,3.0,1.0,0.0,2.0,21.9,0.0,0.0,13.0,27694.0,1.0,1.0,1.0,1.0,1.0,84.16
5.22,3.0,1.0,0.0,2.0,15.4,0.0,0.0,34.0,39696.0,0.0,0.0,1.0,1.0,0.0,84.97
2.96,2.0,0.0,0.0,2.0,9.18,0.0,0.0,1.0,30797.0,1.0,1.0,1.0,1.0,1.0,53.29
10.9,5.0,4.0,4.0,1.0,13.1,1.0,0.0,22.0,30268.0,0.0,0.0,0.0,0.0,0.0,64.99
5.52,2.0,3.0,2.0,4.0,19.6,1.0,0.0,26.0,30268.0,0.0,0.0,0.0,0.0,0.0,133.42
5.08,2.0,2.0,0.0,0.0,17.1,1.0,1.0,9.0,39696.0,0.0,0.0,1.0,1.0,0.0,123.02
7.24,4.0,2.0,0.0,4.0,6.27,0.0,0.0,3.0,23759.0,1.0,0.0,1.0,1.0,1.0,90.65
1.26,2.0,3.0,3.0,3.0,14.5,1.0,0.0,3.0,33858.0,1.0,0.0,1.0,1.0,1.0,91.0
10.24,4.0,5.0,0.0,0.0,8.6,0.0,1.0,10.0,21215.0,1.0,0.0,0.0,0.0,0.0,114.01
1.98,2.0,5.0,0.0,4.0,7.71,0.0,1.0,22.0,23112.0,1.0,1.0,1.0,1.0,1.0,95.45
9.6,3.0,3.0,3.0,3.0,6.66,0.0,1.0,6.0,30584.0,1.0,1.0,1.0,1.0,1.0,91.58
3.64,2.0,3.0,0.0,0.0,8.71,1.0,1.0,22.0,34791.0,0.0,0.0,1.0,1.0,0.0,77.72
15.4,4.0,3.0,2.0,4.0,20.4,1.0,0.0,16.0,21215.0,1.0,0.0,0.0,0.0,0.0,137.77
2.82,3.0,1.0,0.0,1.0,8.42,1.0,0.0,25.0,30268.0,0.0,0.0,0.0,0.0,0.0,59.4
10.12,4.0,2.0,0.0,2.0,16.8,1.0,0.0,30.0,30584.0,1.0,1.0,1.0,1.0,1.0,94.79
5.4,4.0,2.0,0.0,1.0,18.4,0.0,1.0,34.0,34452.0,1.0,0.0,0.0,0.0,1.0,59.02
1.84,2.0,4.0,0.0,4.0,20.6,0.0,0.0,31.0,33858.0,1.0,0.0,1.0,1.0,1.0,115.13
17.8,5.0,5.0,4.0,4.0,16.0,1.0,1.0,2.0,39696.0,0.0,0.0,1.0,1.0,0.0,106.1
13.28,4.0,4.0,3.0,4.0,16.5,1.0,1.0,2.0,34791.0,0.0,0.0,1.0,1.0,0.0,55.45
1.8,3.0,2.0,1.0,1.0,8.6,0.0,1.0,26.0,33858.0,1.0,0.0,1.0,1.0,1.0,136.74
4.5,3.0,1.0,0.0,4.0,7.94,1.0,0.0,28.0,20319.0,0.0,0.0,0.0,0.0,0.0,53.01
13.52,4.0,4.0,1.0,0.0,17.5,1.0,0.0,5.0,23598.0,0.0,0.0,0.0,0.0,1.0,101.84
7.77,3.0,4.0,0.0,3.0,11.3,0.0,1.0,2.0,30268.0,0.0,0.0,0.0,0.0,0.0,95.21
3.42,2.0,2.0,0.0,4.0,16.3,0.0,0.0,31.0,30268.0,0.0,0.0,0.0,0.0,0.0,133.42
11.75,5.0,5.0,5.0,3.0,17.8,1.0,0.0,13.0,23759.0,1.0,0.0,1.0,1.0,1.0,106.73
3.57,3.0,3.0,1.0,1.0,15.3,1.0,0.0,1.0,39696.0,0.0,0.0,1.0,1.0,0.0,129.5
3.99,3.0,2.0,1.0,0.0,8.47,1.0,1.0,35.0,30584.0,1.0,1.0,1.0,1.0,1.0,94.79
3.32,4.0,3.0,0.0,3.0,13.1,1.0,1.0,17.0,21215.0,1.0,0.0,0.0,0.0,0.0,114.01
6.78,3.0,1.0,0.0,1.0,13.2,1.0,0.0,10.0,39696.0,0.0,0.0,1.0,1.0,0.0,68.15
10.32,4.0,5.0,0.0,3.0,17.1,0.0,1.0,26.0,21215.0,1.0,0.0,0.0,0.0,0.0,91.28
4.5,3.0,3.0,0.0,2.0,8.76,1.0,0.0,6.0,39696.0,0.0,0.0,1.0,1.0,0.0,129.5
2.96,4.0,1.0,0.0,2.0,15.6,1.0,0.0,33.0,30268.0,0.0,0.0,0.0,0.0,0.0,62.67
5.4,3.0,0.0,0.0,2.0,14.0,1.0,0.0,26.0,30797.0,1.0,1.0,1.0,1.0,1.0,76.88
8.48,4.0,3.0,0.0,2.0,15.6,0.0,0.0,30.0,33858.0,1.0,0.0,1.0,1.0,1.0,70.32
5.79,3.0,0.0,0.0,2.0,19.5,1.0,0.0,35.0,23598.0,0.0,0.0,0.0,0.0,1.0,131.81
6.63,3.0,2.0,1.0,3.0,7.48,0.0,0.0,6.0,23759.0,1.0,0.0,1.0,1.0,1.0,90.65
1.71,3.0,3.0,0.0,4.0,9.3,1.0,0.0,24.0,20319.0,0.0,0.0,0.0,0.0,0.0,108.22
8.67,3.0,5.0,5.0,4.0,18.9,1.0,0.0,23.0,30584.0,1.0,1.0,1.0,1.0,1.0,105.28
1.42,2.0,3.0,0.0,3.0,20.6,1.0,0.0,21.0,27694.0,1.0,1.0,1.0,1.0,1.0,123.61
2.94,3.0,3.0,0.0,1.0,13.5,0.0,1.0,9.0,23688.0,1.0,1.0,1.0,1.0,1.0,129.2
2.44,1.0,3.0,0.0,4.0,7.28,1.0,0.0,27.0,22478.0,1.0,0.0,0.0,0.0,0.0,119.55
4.53,3.0,4.0,2.0,2.0,6.84,0.0,1.0,35.0,30797.0,1.0,1.0,1.0,1.0,1.0,83.55
